Aug_1-6933834201																	
VFclass	Virulence factors	Related genes	ma102(Prediction)	P.aeruginosa LESB58 	P.aeruginosa PA7 	P.aeruginosa PAO1 	P.aeruginosa UCBPP-PA14 	P.entomophila L48 	P.fluorescens Pf-5 	P.fluorescens Pf0-1 	P.mendocina ymp 	P.putida KT2440 	P.putida W619 	P.stutzeri A1501 	P.syringae pv. phaseolicola 1448A 		P.syringae pv. syringae B728a 
	Phospholipase D	pldA	-	-	-	PA3487	PA14_18970	-	-	-	-	-	-	-	-	-	-
Iron uptake	Achromobactin biosynthesis and transport	acsA	-	-	PSPA7_3092	-	-	-	-	-	-	-	-	-	-	PSPPH_2756	Psyr_2589
		acsB	-	-	PSPA7_3089	-	-	-	-	-	-	-	-	-	-	PSPPH_2755	Psyr_2588
		acsC	-	-	-	-	-	-	-	-	-	-	-	-	-	PSPPH_2754	Psyr_2587
		acsD	-	-	PSPA7_3094	-	-	-	-	-	-	-	-	-	-	PSPPH_2751	Psyr_2584
		cbrA	-	-	-	-	-	-	-	-	-	-	-	-	-	PSPPH_2757	Psyr_2590
		cbrB	-	-	-	-	-	-	-	-	-	-	-	-	-	PSPPH_2758	Psyr_2591
		cbrC	-	-	-	-	-	-	-	-	-	-	-	-	-	PSPPH_2759	Psyr_2592
		cbrD	MMBGCLAI_02939; MMBGCLAI_03304	-	-	-	-	-	-	-	-	-	-	-	-	PSPPH_2760	Psyr_2593
	Pyochelin receptor	fptA	-	PLES_07061	PSPA7_0879	PA4221	PA14_09340	-	PFL_2293	-	-	-	-	-	-	-	-
	Pyochelin	pchA	-	PLES_06961	PSPA7_0869	PA4231	PA14_09210	PSEEN2504	PFL_3488	-	-	-	-	-	-	PSPPH_2904	-
		pchB	-	PLES_06971	PSPA7_0870	PA4230	PA14_09220	PSEEN2507	PFL_3489	-	-	-	-	-	-	PSPPH_2903	-
		pchC	-	PLES_06981	PSPA7_0871	PA4229	PA14_09230	-	PFL_3490	-	-	-	-	-	-	-	-
		pchD	MMBGCLAI_02933	PLES_06991	PSPA7_0872	PA4228	PA14_09240	PSEEN2505	PFL_3496	-	-	-	-	-	-	-	-
		pchE	-	PLES_07011	PSPA7_0874	PA4226	PA14_09270	-	PFL_3493	-	-	-	-	-	-	-	-
		pchF	-	PLES_07021	PSPA7_0875	PA4225	PA14_09280	-	PFL_3492	-	-	-	-	-	-	-	-
		pchG	-	PLES_07031	PSPA7_0876	PA4224	PA14_09290	-	-	-	-	-	-	-	-	-	-
		pchH	-	PLES_07041	PSPA7_0877	PA4223	PA14_09300	-	PFL_3495	-	-	-	-	-	-	-	-
		pchI	-	PLES_07051	PSPA7_0878	PA4222	PA14_09320	-	PFL_3494	-	-	-	-	-	-	-	-
		pchR	-	PLES_07001	PSPA7_0873	PA4227	PA14_09260	-	PFL_3497	-	-	-	-	-	-	-	-
	Pyoverdine receptors	fpvA	MMBGCLAI_01391; MMBGCLAI_01483; MMBGCLAI_01942; MMBGCLAI_02167; MMBGCLAI_02943; MMBGCLAI_03969	PLES_28981; PLES_29011; PLES_29041	PSPA7_2861	PA2398	PA14_33680	PSEEN2529	PFL_2391	Pfl_2583	Pmen_4556	PP_4217	-	-	-	PSPPH_1870	Psyr_1961
	Pyoverdine	pvdA	MMBGCLAI_02163	PLES_29161	PSPA7_2874	PA2386	PA14_33810	PSEEN3223	PFL_4079	Pfl_1859	Pmen_2871	PP_3796	PputW619_2095	-	-	PSPPH_2415	Psyr_2746
		pvdD	-	PLES_28971	-	PA2399	PA14_33650	-	PFL_4094	-	-	PP_4219	PputW619_3541	-	-	PSPPH_1925	Psyr_1959
		pvdE	MMBGCLAI_02162	PLES_28991; PLES_29021; PLES_29051	PSPA7_2862	PA2397	PA14_33690	PSEEN3224	PFL_4091	Pfl_1850	-	PP_4216	PputW619_3540	-	-	PSPPH_1929	Psyr_1963
		pvdF	-	PLES_29061	PSPA7_2863	PA2396	PA14_33700	-	PFL_4090	-	-	-	-	-	-	-	-
		pvdG	-	PLES_28701	PSPA7_2828	PA2425	PA14_33270	-	-	-	-	-	-	-	-	PSPPH_1910	Psyr_1944
		pvdH	MMBGCLAI_02166	PLES_28831	PSPA7_2846	PA2413	PA14_33500	PSEEN3669	PFL_4179	Pfl_3932	Pmen_2868	PP_4223	PputW619_3548	-	-	PSPPH_1912	Psyr_1946
		pvdI	MMBGCLAI_03414	PLES_28951	PSPA7_2859	PA2402	PA14_33610	PSEEN3229	PFL_4093	-	-	-	PputW619_3546	-	-	-	-
		pvdJ	-	PLES_28961	PSPA7_2860	PA2400	PA14_33630	-	-	-	-	-	-	-	-	-	-
		pvdL	-	PLES_28711	PSPA7_2829	PA2424	PA14_33280	PSEEN1815	PFL_4189	Pfl_3940	-	PP_4243	PputW619_3562	-	-	PSPPH_1911	Psyr_1945
		pvdM	-	PLES_29091	PSPA7_2866	PA2393	PA14_33730	PSEEN3220	PFL_4087	Pfl_1853	-	PP_4213	PputW619_3537	-	-	PSPPH_1932	Psyr_1966
		pvdN	-	PLES_29081	PSPA7_2865	PA2394	PA14_33720	PSEEN3221	PFL_4088	Pfl_1852	-	PP_4214	PputW619_3538	-	-	PSPPH_1931	Psyr_1965
		pvdO	-	PLES_29071	PSPA7_2864	PA2395	PA14_33710	PSEEN3222	PFL_4089	Pfl_1851	-	PP_4215	PputW619_3539	-	-	PSPPH_1930	Psyr_1964
		pvdP	-	PLES_29101	PSPA7_2868	PA2392	PA14_33740	PSEEN3667	PFL_4086	Pfl_1854	-	PP_4212	PputW619_3536	-	-	PSPPH_1933	Psyr_1967
		pvdQ	-	PLES_29171	PSPA7_2876	PA2385	PA14_33820	PSEEN2083	PFL_2902	Pfl_2563	-	PP_2901	PputW619_2403	-	-	PSPPH_1937	Psyr_1971
		pvdS	-	PLES_28691	PSPA7_2827	PA2426	PA14_33260	PSEEN1814	PFL_4190	Pfl_3941	Pmen_2873	PP_4244	PputW619_3563	-	-	PSPPH_1909	Psyr_1943
		pvdY	MMBGCLAI_02172	PLES_28681	PSPA7_2826	PA2427	PA14_33250	PSEEN1813	PFL_4191	-	-	PP_4245	PputW619_3564	-	-	-	-
	Yersiniabactin	fyuA	-	-	-	-	-	-	-	-	-	-	-	-	-	PSPPH_2894	-
		irp1	-	-	-	-	-	-	-	-	-	-	-	-	-	PSPPH_2899	-
		irp2	-	-	-	-	-	-	-	-	-	-	-	-	-	PSPPH_2897	-
		irp3	-	-	-	-	-	-	-	-	-	-	-	-	-	PSPPH_2900	-
		irp4	-	-	-	-	-	-	-	-	-	-	-	-	-	PSPPH_2901	-
		irp5	-	-	-	-	-	-	-	-	-	-	-	-	-	PSPPH_2902	-
		ybtA	-	-	-	-	-	-	-	-	-	-	-	-	-	PSPPH_2893	-
		ybtP	-	-	-	-	-	-	-	-	-	-	-	-	-	PSPPH_2895	-
		ybtQ	-	-	-	-	-	-	-	-	-	-	-	-	-	PSPPH_2896	-
	Brucebactin(Brucella)	dhbA	MMBGCLAI_02931	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	Cytochrome c maturation (ccm) locus(Legionella)	ccmE	MMBGCLAI_02843	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	Ent siderophore(Klebsiella)		MMBGCLAI_02934	-	-	-	-	-	-	-	-	-	-	-	-	-	-
			MMBGCLAI_02935	-	-	-	-	-	-	-	-	-	-	-	-	-	-
			MMBGCLAI_02938	-	-	-	-	-	-	-	-	-	-	-	-	-	-
			MMBGCLAI_02940	-	-	-	-	-	-	-	-	-	-	-	-	-	-
			MMBGCLAI_02942	-	-	-	-	-	-	-	-	-	-	-	-	-	-
	Iron/manganese transport(Escherichia)	sitA	MMBGCLAI_04527	-	-	-	-	-	-	-	-	-	-	-	-	-	-
		sitB	MMBGCLAI_04526	-	-	-	-	-	-	-	-	-	-	-	-	-	-
		sitC	MMBGCLAI_04525	-	-	-	-	-	-	-	-	-	-	-	-	-	-
		sitD	MMBGCLAI_04524	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Protease	Alkaline protease	aprA	-	PLES_40631	PSPA7_4143	PA1249	PA14_48060	PSEEN1550	PFL_2483	Pfl_3363	-	-	-	-	-	-	Psyr_3163
	Elastase	lasA	-	PLES_34521	PSPA7_3417	PA1871	PA14_40290	-	-	-	-	-	-	-	-	-	-
		lasB	-	PLES_12581	PSPA7_1397	PA3724	PA14_16250	-	-	-	-	-	-	-	-	-	-
	Protease IV	prpL	-	PLES_07521	PSPA7_0919	PA4175	PA14_09900	-	-	-	-	-	-	-	-	-	-
Quorum sensing	Acylhomoserine lactone synthase	hdtS	MMBGCLAI_00005	PLES_00041	PSPA7_0005	PA0005	PA14_00060	PSEEN0014	PFL_0011	Pfl_0007	Pmen_0011	PP_0058	PputW619_0077	PST_0007	-	PSPPH_0009	Psyr_0009
	N-(3-oxo-dodecanoyl)-L-homoserine lactone QS system	lasI	-	PLES_39821	PSPA7_3897	PA1432	PA14_45940	-	-	-	-	-	-	-	-	-	-
		lasR	-	PLES_39841	PSPA7_3898	PA1430	PA14_45960	-	-	-	-	-	-	-	-	-	-
	N-(3-oxo-hexanoyl)-L-homoserine lactone QS system	ahlI	-	-	-	-	-	-	-	-	-	-	-	-	-	PSPPH_1614	Psyr_1621
		ahlR	-	-	-	-	-	-	-	-	-	-	-	-	-	PSPPH_1615	Psyr_1622
	N-(butanoyl)-L-homoserine lactone QS system	rhlI	-	PLES_15361	PSPA7_1650	PA3476	PA14_19130	-	-	-	-	-	-	-	-	-	-
		rhlR	-	PLES_15351	PSPA7_1649	PA3477	PA14_19120	-	-	-	-	-	-	-	-	-	-
Regulation	GacS/GacA two-component system	gacA	MMBGCLAI_02059	PLES_26021	PSPA7_2613	PA2586	PA14_30650	PSEEN3450	PFL_3563	Pfl_3067	Pmen_2375	PP_4099	PputW619_3375	PST_2085	-	PSPPH_2328	Psyr_2897
		gacS	MMBGCLAI_02855	PLES_43881	PSPA7_4582	PA0928	PA14_52260	PSEEN1359	PFL_4451	Pfl_4222	Pmen_1730	PP_1650	PputW619_1212	PST_2674	-	PSPPH_3719	Psyr_3698
Secretion system	Harpins	hopP1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
		hrpA1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
		hrpA2	-	-	-	-	-	-	-	-	-	-	-	-	-	PSPPH_1272	Psyr_1192
		hrpK1	-	-	-	-	-	-	-	-	-	-	-	-	-	PSPPH_1295	Psyr_1218
		hrpW1	-	-	-	-	-	-	-	-	-	-	-	-	-	PSPPH_1264	Psyr_1184
		hrpZ1	-	-	-	-	-	-	-	-	-	-	-	-	-	PSPPH_1273	Psyr_1193
	Hcp secretion island-1 encoded type VI secretion system (H-T6SS)	Undetermined	-	PLES_00721	PSPA7_0142	PA0071	PA14_00830	-	PFL_6075	-	Pmen_2310	-	-	-	-	-	Psyr_2626
		Undetermined	-	PLES_00731	PSPA7_0143	PA0072	PA14_00850	-	PFL_6076	-	Pmen_2311	-	-	-	-	-	Psyr_2627
		Undetermined	-	PLES_00741	PSPA7_0144	PA0073	PA14_00860	-	PFL_6077	-	Pmen_2312	-	-	-	-	-	Psyr_2628
		Undetermined	-	PLES_00771	PSPA7_0147	PA0076	PA14_00900	-	PFL_6080	-	Pmen_2315	-	-	-	-	-	-
		Undetermined	-	PLES_00791	PSPA7_0149	PA0078	PA14_00925	-	PFL_6082	-	Pmen_2317	-	-	-	-	-	-
		Undetermined	-	PLES_00801	PSPA7_0150	PA0079	PA14_00940	-	PFL_6083	-	Pmen_2318	PP_4080	PputW619_2503; PputW619_3259	-	-	PSPPH_0127	Psyr_4960
		Undetermined	-	PLES_00811	PSPA7_0151	PA0080	PA14_00960	-	PFL_6084	-	Pmen_2319	PP_4079	-	-	-	-	-
		Undetermined	-	PLES_00831	PSPA7_0154	PA0082	PA14_00990	-	PFL_6086	-	Pmen_2321	-	-	-	-	-	-
		Undetermined	-	PLES_00841	PSPA7_0155	PA0083	PA14_01010	-	PFL_6087	-	Pmen_2322	-	-	-	-	-	-
		Undetermined	-	PLES_00851	PSPA7_0156	PA0084	PA14_01020	-	PFL_6088	-	Pmen_2323	-	-	-	-	-	-
		Undetermined	-	PLES_00871	PSPA7_0158	PA0086	PA14_01040	-	-	-	Pmen_2327	-	-	-	-	-	-
		Undetermined	-	PLES_00881	PSPA7_0159	PA0087	PA14_01060	-	PFL_6090	-	Pmen_2328	PP_3098	PputW619_2508	-	-	-	-
		Undetermined	-	PLES_00891	PSPA7_0160	PA0088	PA14_01070	-	PFL_6091	-	Pmen_2329	PP_3097	PputW619_2507	-	-	PSPPH_0131	Psyr_4956
		Undetermined	-	PLES_00901	PSPA7_0161	PA0089	PA14_01080	-	PFL_6092	-	Pmen_2330	PP_3096	PputW619_2506	-	-	PSPPH_0130	Psyr_4957
		clpV1	-	PLES_00911	PSPA7_0162	PA0090	PA14_01100	-	PFL_6093	-	Pmen_2331	PP_3095	PputW619_2505	-	-	PSPPH_0129	Psyr_4958
		fha1	-	PLES_00821	PSPA7_0152	PA0081	PA14_00980	-	PFL_6085	-	Pmen_2320	-	-	-	-	-	-
		hcp1	-	PLES_00861	PSPA7_0157	PA0085	PA14_01030	-	PFL_6089	-	Pmen_2324	PP_3089	PputW619_0770; PputW619_2498	-	-	PSPPH_0164	Psyr_1935
		icmF1	-	PLES_00781	PSPA7_0148	PA0077	PA14_00910	-	PFL_6081	-	Pmen_2316	PP_2627	PputW619_2501	-	-	PSPPH_0123	Psyr_4964
		ppkA	-	PLES_00751	PSPA7_0145	PA0074	PA14_00875	-	PFL_6078	-	Pmen_2313	-	-	-	-	-	Psyr_2629
		pppA	-	PLES_00761	PSPA7_0146	PA0075	PA14_00890	-	PFL_6079	-	Pmen_2314	-	-	-	-	-	-
		vgrG1	MMBGCLAI_04230	PLES_00921	PSPA7_0163	PA0091	PA14_01110	-	PFL_6094	-	-	-	-	-	-	-	-
	P. aeruginosa TTSS translocated effectors	exoS	-	PLES_11331	-	PA3841	-	-	-	-	-	-	-	-	-	-	-
		exoT	-	PLES_00451	-	PA0044	PA14_00560	-	-	-	-	-	-	-	-	-	-
		exoU	-	-	-	-	PA14_51530	-	-	-	-	-	-	-	-	-	-
		exoY	-	PLES_31341	-	PA2191	PA14_36345	-	-	-	-	-	-	-	-	-	-
	P. aeruginosa TTSS	exsA	-	PLES_36161	-	PA1713	PA14_42390	-	-	-	-	-	-	-	-	-	-
		exsB	-	PLES_36171	-	PA1712	PA14_42400	-	-	-	-	-	-	-	-	-	-
		exsC	-	PLES_36181	-	PA1710	PA14_42430	-	-	-	-	-	-	-	-	-	-
		exsD	-	PLES_36151	-	PA1714	PA14_42380	-	-	-	-	-	-	-	-	-	-
		exsE	-	-	-	PA1711	PA14_42410	-	-	-	-	-	-	-	-	-	-
		pcr1	-	PLES_36281	-	PA1699	PA14_42540	-	-	-	-	-	-	-	-	-	-
		pcr2	-	PLES_36271	-	PA1700	PA14_42530	-	-	-	-	-	-	-	-	-	-
		pcr3	-	PLES_36261	-	PA1701	PA14_42520	-	-	-	-	-	-	-	-	-	-
		pcr4	-	PLES_36251	-	PA1702	PA14_42510	-	-	-	-	-	-	-	-	-	-
		pcrD	-	PLES_36241	-	PA1703	PA14_42500	-	-	-	-	-	-	-	-	-	-
		pcrG	-	PLES_36221	-	PA1705	PA14_42480	-	-	-	-	-	-	-	-	-	-
		pcrH	-	-	-	PA1707	PA14_42460	-	-	-	-	-	-	-	-	-	-
		pcrR	-	PLES_36231	-	PA1704	PA14_42490	-	-	-	-	-	-	-	-	-	-
		pcrV	-	PLES_36211	-	PA1706	PA14_42470	-	-	-	-	-	-	-	-	-	-
		popB	-	PLES_36201	-	PA1708	PA14_42450	-	-	-	-	-	-	-	-	-	-
		popD	-	PLES_36191	-	PA1709	PA14_42440	-	-	-	-	-	-	-	-	-	-
		popN	-	PLES_36291	-	PA1698	PA14_42550	-	-	-	-	-	-	-	-	-	-
		pscB	-	PLES_36141	-	PA1715	PA14_42360	-	-	-	-	-	-	-	-	-	-
		pscC	-	PLES_36131	-	PA1716	PA14_42350	-	-	-	-	-	-	-	-	-	-
		pscD	-	PLES_36121	-	PA1717	PA14_42340	-	-	-	-	-	-	-	-	-	-
		pscE	-	PLES_36111	-	PA1718	PA14_42320	-	-	-	-	-	-	-	-	-	-
		pscF	-	PLES_36101	-	PA1719	PA14_42310	-	-	-	-	-	-	-	-	-	-
		pscG	-	PLES_36091	-	PA1720	PA14_42300	-	-	-	-	-	-	-	-	-	-
		pscH	-	PLES_36081	-	PA1721	PA14_42290	-	-	-	-	-	-	-	-	-	-
		pscI	-	PLES_36071	-	PA1722	PA14_42280	-	-	-	-	-	-	-	-	-	-
		pscJ	-	PLES_36061	-	PA1723	PA14_42270	-	-	-	-	-	-	-	-	-	-
		pscK	-	PLES_36051	-	PA1724	PA14_42260	-	-	-	-	-	-	-	-	-	-
		pscL	-	PLES_36041	-	PA1725	PA14_42250	-	-	-	-	-	-	-	-	-	-
		pscN	-	PLES_36301	-	PA1697	PA14_42570	-	-	-	-	-	-	-	-	-	-
		pscO	-	PLES_36311	-	PA1696	PA14_42580	-	-	-	-	-	-	-	-	-	-
		pscP	-	-	-	PA1695	PA14_42600	-	-	-	-	-	-	-	-	-	-
		pscQ	-	PLES_36321	-	PA1694	PA14_42610	-	-	-	-	-	-	-	-	-	-
		pscR	-	PLES_36331	-	PA1693	PA14_42620	-	-	-	-	-	-	-	-	-	-
		pscS	-	PLES_36341	-	PA1692	PA14_42630	-	-	-	-	-	-	-	-	-	-
		pscT	-	PLES_36351	-	PA1691	PA14_42640	-	-	-	-	-	-	-	-	-	-
		pscU	-	PLES_36361	-	PA1690	PA14_42660	-	-	-	-	-	-	-	-	-	-
	P. syringae TTSS effectors	avrB2	-	-	-	-	-	-	-	-	-	-	-	-	PSPPH_A0120	-	-
		avrB3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Psyr_1219
		avrB4-1	-	-	-	-	-	-	-	-	-	-	-	-	-	PSPPH_3028	-
		avrB4-2	-	-	-	-	-	-	-	-	-	-	-	-	-	PSPPH_0784	-
		avrD1	-	-	-	-	-	-	-	-	-	-	-	-	PSPPH_A0113	-	-
		avrE1	-	-	-	-	-	-	-	-	-	-	-	-	-	PSPPH_1268	Psyr_1188
		avrPto1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Psyr_4919
		avrRpm1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Psyr_0738
		avrRps4	-	-	-	-	-	-	-	-	-	-	-	-	PSPPH_A0087	-	-
		hopA1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
		hopAA1'	-	-	-	-	-	-	-	-	-	-	-	-	-	PSPPH_1263*	-
		hopAA1-1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
		hopAA1-2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
		hopAA1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Psyr_1183
		hopAB1	-	-	-	-	-	-	-	-	-	-	-	-	PSPPH_A0127	-	Psyr_4659
		hopAB2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
		hopAB3'	-	-	-	-	-	-	-	-	-	-	-	-	-	PSPPH_2294*	-
		hopAC1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Psyr_0527
		hopAC	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
		hopAD1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
		hopAE1	-	-	-	-	-	-	-	-	-	-	-	-	-	PSPPH_4326	Psyr_4269
		hopAF1	-	-	-	-	-	-	-	-	-	-	-	-	-	PSPPH_1443	Psyr_3813
		hopAG1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Psyr_0778
		hopAG	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
		hopAH1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Psyr_0779
		hopAH2-1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
		hopAH2-2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
		hopAH2	-	-	-	-	-	-	-	-	-	-	-	-	-	PSPPH_3036	Psyr_3123
		hopAI1'	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Psyr_0780*
		hopAI1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
		hopAJ1	-	-	-	-	-	-	-	-	-	-	-	-	-	PSPPH_0763	-
		hopAJ2	MMBGCLAI_01161	-	-	-	-	-	-	-	-	-	-	-	-	PSPPH_4398	Psyr_4357
		hopAK1	-	-	-	-	-	-	-	-	-	-	-	-	-	PSPPH_1424	Psyr_3839
		hopAM1-1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
		hopAM1-2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
		hopAN1	MMBGCLAI_01973; MMBGCLAI_03329	-	-	-	-	-	-	-	-	-	-	-	-	PSPPH_0456	Psyr_0465
		hopAO1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
		hopAP1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Psyr_1890
		hopAQ1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
		hopAS1'	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
		hopAS1	-	-	-	-	-	-	-	-	-	-	-	-	-	PSPPH_4736	-
		hopAT1'	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
		hopAT1	-	-	-	-	-	-	-	-	-	-	-	-	-	PSPPH_5225	-
		hopAU1	-	-	-	-	-	-	-	-	-	-	-	-	PSPPH_A0031	-	-
		hopAV1	-	-	-	-	-	-	-	-	-	-	-	-	PSPPH_A0056	-	-
		hopAW1	-	-	-	-	-	-	-	-	-	-	-	-	PSPPH_A0122	-	-
		hopB1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
		hopC1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
		hopD1	-	-	-	-	-	-	-	-	-	-	-	-	PSPPH_A0010	-	-
		hopD	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
		hopE1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
		hopF2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
		hopF3	-	-	-	-	-	-	-	-	-	-	-	-	-	PSPPH_3498	-
		hopG1	-	-	-	-	-	-	-	-	-	-	-	-	-	PSPPH_0767	-
		hopH1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Psyr_1889
		hopI1	-	-	-	-	-	-	-	-	-	-	-	-	-	PSPPH_4366	Psyr_4326
		hopJ1	MMBGCLAI_03516	-	-	-	-	-	-	-	-	-	-	-	-	PSPPH_1068	Psyr_1017
		hopK1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
		hopL1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Psyr_2631
		hopM1'	-	-	-	-	-	-	-	-	-	-	-	-	-	PSPPH_1266*	-
		hopM1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Psyr_1186
		hopN1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
		hopO1-1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
		hopO1-3'	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
		hopP1-2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
		hopQ1-1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
		hopQ1-2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
		hopQ1	-	-	-	-	-	-	-	-	-	-	-	-	PSPPH_A0012	-	-
		hopR1	-	-	-	-	-	-	-	-	-	-	-	-	-	PSPPH_0171	-
		hopS1'	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
		hopS2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
		hopT1-1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
		hopT1-2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
		hopT2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
		hopU1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
		hopV1	-	-	-	-	-	-	-	-	-	-	-	-	-	PSPPH_2351	-
		hopW1-1	-	-	-	-	-	-	-	-	-	-	-	-	PSPPH_A0009	-	-
		hopW1-2	-	-	-	-	-	-	-	-	-	-	-	-	PSPPH_A0075	-	-
		hopX1	-	-	-	-	-	-	-	-	-	-	-	-	-	PSPPH_1296	Psyr_1220
		hopY1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
		hopZ3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Psyr_1224
	P. syringae TTSS	hrcC	-	-	-	-	-	-	-	-	-	-	-	-	-	PSPPH_1280	Psyr_1200
		hrcJ	-	-	-	-	-	-	-	-	-	-	-	-	-	PSPPH_1275	Psyr_1195
		hrcN	-	-	-	-	-	-	-	-	-	-	-	-	-	PSPPH_1290	Psyr_1213
		hrcQa	-	-	-	-	-	-	-	-	-	-	-	-	-	PSPPH_1287	Psyr_1210
		hrcQb	-	-	-	-	-	-	-	-	-	-	-	-	-	PSPPH_1286	Psyr_1209
		hrcR	-	-	-	-	-	-	-	-	-	-	-	-	-	PSPPH_1285	Psyr_1208
		hrcS	-	-	-	-	-	-	-	-	-	-	-	-	-	PSPPH_1284	Psyr_1207
		hrcT	-	-	-	-	-	-	-	-	-	-	-	-	-	PSPPH_1283	Psyr_1206
		hrcU	-	-	-	-	-	-	-	-	-	-	-	-	-	PSPPH_1282	Psyr_1205
		hrcV	-	-	-	-	-	-	-	-	-	-	-	-	-	PSPPH_1292	Psyr_1215
		hrpB	-	-	-	-	-	-	-	-	-	-	-	-	-	PSPPH_1274	Psyr_1194
		hrpD	-	-	-	-	-	-	-	-	-	-	-	-	-	PSPPH_1276	Psyr_1196
		hrpE	-	-	-	-	-	-	-	-	-	-	-	-	-	PSPPH_1277	Psyr_1197
		hrpF	-	-	-	-	-	-	-	-	-	-	-	-	-	PSPPH_1278	Psyr_1198
		hrpG	-	-	-	-	-	-	-	-	-	-	-	-	-	PSPPH_1279	Psyr_1199
		hrpJ	-	-	-	-	-	-	-	-	-	-	-	-	-	PSPPH_1293	Psyr_1216
		hrpL	-	-	-	-	-	-	-	-	-	-	-	-	-	PSPPH_1294	Psyr_1217
		hrpO	-	-	-	-	-	-	-	-	-	-	-	-	-	PSPPH_1289	Psyr_1212
		hrpP	-	-	-	-	-	-	-	-	-	-	-	-	-	PSPPH_1288	Psyr_1211
		hrpQ	-	-	-	-	-	-	-	-	-	-	-	-	-	PSPPH_1291	Psyr_1214
		hrpR	-	-	-	-	-	-	-	-	-	-	-	-	-	PSPPH_1270	Psyr_1190
		hrpS	-	-	-	-	-	-	-	-	-	-	-	-	-	PSPPH_1271	Psyr_1191
		hrpT	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Psyr_1201
		hrpV	-	-	-	-	-	-	-	-	-	-	-	-	-	PSPPH_1281	Psyr_1202
		shcA	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
		shcE	-	-	-	-	-	-	-	-	-	-	-	-	-	PSPPH_1267	Psyr_1187
		shcF	-	-	-	-	-	-	-	-	-	-	-	-	-	PSPPH_3499	-
		shcM	-	-	-	-	-	-	-	-	-	-	-	-	-	PSPPH_1265	Psyr_1185
		shcN	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
		shcS1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
		shcS2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
		shcV	-	-	-	-	-	-	-	-	-	-	-	-	-	PSPPH_2352	-
	EPS type II secretion system(Vibrio)	epsG	MMBGCLAI_03438	-	-	-	-	-	-	-	-	-	-	-	-	-	-
